snapshot_time_utc,game_name,stream_id,user_id,user_login,user_name,title,viewer_count,started_at,language,thumbnail_url,is_mature
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,317211562214,409542674,ynaatalie,yNaatalie,(GER/PS5/FSK18)   Bye April und Hello Mai,12,2026-05-01T16:19:06Z,de,https://static-cdn.jtvnw.net/previews-ttv/live_user_ynaatalie-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,318997062745,206796086,tsufunk2005,tsufunk2005,Trying to Escape Bronze but My Team Said NO 😭,12,2026-05-01T12:39:15Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_tsufunk2005-{width}x{height}.jpg,True
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,316993320167,608641767,wokstahpluto,wokstahpluto,ex top100 auf smurf !discord #dropsOn  #ubisoftpartner #ad,12,2026-05-01T15:17:56Z,de,https://static-cdn.jtvnw.net/previews-ttv/live_user_wokstahpluto-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,315602064108,447324965,full_bloom1,Full_Bloom1,النقاط تفجرت | [EN/AR],12,2026-05-01T15:45:41Z,ar,https://static-cdn.jtvnw.net/previews-ttv/live_user_full_bloom1-{width}x{height}.jpg,True
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,315960520150,105059898,guma_channel_,guma_channel_,[RU] Группа захвата DOWN's/Общение/Вайб wwww !tg,11,2026-05-01T14:24:18Z,ru,https://static-cdn.jtvnw.net/previews-ttv/live_user_guma_channel_-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,315506131794,1412038870,martyuhh,martyuhh,🔴R6 SLAMMING VIEWERS 1V1 ME🔴wont ignore🔴GOOD CONTENT,11,2026-05-01T16:57:46Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_martyuhh-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,318387108188,451564483,qirkky,qirkky,{LIVE} CONTROLLER SWEATY NO LIFE RANKED PS5 HANDCAM! !!SUB  !BOOST,11,2026-05-01T16:36:54Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_qirkky-{width}x{height}.jpg,True
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,316608216802,152706765,halik_tg,Halik_TG,Badges be hard to get,10,2026-05-01T15:58:08Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_halik_tg-{width}x{height}.jpg,True
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,317145241957,196859783,xxxxfuriaxxxx,xxxxFURIAxxxx,coś ten teges ?!,10,2026-05-01T14:32:09Z,pl,https://static-cdn.jtvnw.net/previews-ttv/live_user_xxxxfuriaxxxx-{width}x{height}.jpg,True
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,315833578738,126219248,primguin,primguin,[ENG/FIL] Long weekend Birthday strims!  || PERS: @zalunatuna,10,2026-05-01T11:05:57Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_primguin-{width}x{height}.jpg,False
